url,doc_id,title,customer_role,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/77251?seo=1,chinh-sach-tra-hang-hoan-tien,Chính sách trả hàng và hoàn tiền,both,returns-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/77250,chinh-sach-van-chuyen,Chính sách vận chuyển Shopee,both,shipping-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79233?seo=1,huong-dan-gui-yeu-cau-thht,Hướng dẫn gửi yêu cầu trả hàng hoàn tiền,buyer,returns-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/188931-%5BTr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n%5D-Nh%E1%BB%AFng-quy-%C4%91%E1%BB%8Bnh-chung-v%E1%BB%81-Tr%E1%BA%A3-h%C3%A0ng/Ho%C3%A0n-ti%E1%BB%81n-c%E1%BB%A7a-Shopee,quy-dinh-chung-tra-hang-hoan-tien,Quy định chung về trả hàng hoàn tiền,buyer,returns-policy,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79314-%5BMua-s%E1%BA%AFm-an-to%C3%A0n%5D-Shopee-%C4%90%E1%BA%A3m-B%E1%BA%A3o-l%C3%A0-g%C3%AC,shopee-dam-bao,Shopee Đảm Bảo là gì,buyer,buyer-protection,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79508,cach-dong-goi-don-hoan-tra,Cách đóng gói đơn hàng hoàn trả,buyer,returns-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/190242-%5BTr%E1%BA%A3-h%C3%A0ng/-Ho%C3%A0n-ti%E1%BB%81n%5D-Quy-tr%C3%ACnh-Shopee-x%E1%BB%AD-l%C3%BD-y%C3%AAu-c%E1%BA%A7u-Tr%E1%BA%A3-h%C3%A0ng/-Ho%C3%A0n-ti%E1%BB%81n,quy-trinh-xu-ly-thht,Quy trình Shopee xử lý yêu cầu trả hàng hoàn tiền,both,returns-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/190387-%5BTr%E1%BA%A3-h%C3%A0ng/-Ho%C3%A0n-ti%E1%BB%81n%5D-H%C6%B0%E1%BB%9Bng-d%E1%BA%ABn-Ng%C6%B0%E1%BB%9Di-mua-tr%E1%BA%A3-l%E1%BB%9Di-%C4%91%E1%BB%81-xu%E1%BA%A5t-Ho%C3%A0n-Ti%E1%BB%81n-Ngay-c%E1%BB%A7a-Ng%C6%B0%E1%BB%9Di-b%C3%A1n,phan-hoi-de-xuat-hoan-tien,Hướng dẫn phản hồi đề xuất hoàn tiền ngay,buyer,returns-process,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/77262,dieu-khoan-dich-vu-shopee-mall,Điều khoản dịch vụ Shopee Mall,seller,seller-terms,vi,not-stated,public-page
https://help.shopee.vn/portal/4/article/79596-H%C6%B0%E1%BB%9Bng%20D%E1%BA%ABn%20Thanh%20To%C3%A1n%20Nhi%E1%BB%81u%20%C4%90%C6%A1n%20H%C3%A0ng,huong-dan-thanh-toan-nhieu-don,Hướng dẫn thanh toán nhiều đơn hàng,buyer,payments,vi,not-stated,public-page
